Country,Happiness Rank_2015,Happiness Score_2015,Economy_2015,Family_2015,Health_2015,Freedom_2015,Generosity_2015,Trust_2015,Dystopia_2015,Happiness Rank_2016,Happiness Score_2016,Economy_2016,Family_2016,Health_2016,Freedom_2016,Generosity_2016,Trust_2016,Dystopia_2016,Happiness Rank_2017,Happiness Score_2017,Economy_2017,Family_2017,Health_2017,Freedom_2017,Generosity_2017,Trust_2017,Dystopia_x,Happiness Rank_2018,Happiness Score_2018,Economy_2018,Family_2018,Health_2018,Freedom_2018,Generosity_2018,Trust_2018,Happiness Rank_2019,Happiness Score_2019,Economy_2019,Family_2019,Health_2019,Freedom_2019,Generosity_2019,Trust_2019,Happiness Rank_2020,Happiness Score_2020,Economy_2020,Family_2020,Health_2020,Freedom_2020,Generosity_2020,Trust_2020,Dystopia_y,Happiness Rank_2021,Happiness Score_2021,Economy_2021,Family_2021,Health_2021,Freedom_2021,Generosity_2021,Trust_2021,Dystopia_2021,Happiness Rank_2022,Happiness Score_2022,Economy_2022,Family_2022,Health_2022,Freedom_2022,Generosity_2022,Trust_2022,Dystopia_2022,Region
Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2.51738,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,3,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2.35026741,3,7.571,11.117,0.942,74.4,0.919,0.025,0.292,2.839,4,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2.153,Western Europe
Iceland,2,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2.70201,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,4,7.504499912,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,2.460688114,4,7.554,10.878,0.983,73,0.955,0.16,0.673,2.967,3,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2.32,Western Europe
Denmark,3,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2.49204,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2.313707352,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,2.432740688,2,7.62,10.933,0.954,72.7,0.946,0.03,0.179,2.868,2,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2.226,Western Europe
Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.46531,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,5,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,2.168266296,6,7.392,11.053,0.954,73.3,0.96,0.093,0.27,2.58,8,7.365,1.997,1.239,0.786,0.728,0.217,0.474,1.925,Western Europe
Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2.45176,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,2.187264442,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,11,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,2.195269108,14,7.103,10.776,0.926,73.8,0.915,0.089,0.415,2.585,15,7.025,1.886,1.188,0.783,0.659,0.217,0.368,1.924,North America
Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2.61955,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,2.430181503,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,1,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,2.762835026,1,7.842,10.775,0.954,72,0.949,-0.098,0.186,3.253,1,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2.518,Western Europe
Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2.4657,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,6,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,2.352117062,5,7.464,10.932,0.942,72.4,0.913,0.175,0.338,2.798,5,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2.137,Western Europe
Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2.37119,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,7,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,2.246299267,7,7.363,10.867,0.934,72.7,0.945,0.086,0.237,2.683,7,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2.003,Western Europe
New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2.26425,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,2.046456337,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,8,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,2.128108025,9,7.277,10.643,0.948,73.4,0.929,0.134,0.242,2.612,10,7.2,1.852,1.235,0.752,0.68,0.245,0.483,1.954,Australia and New Zealand
Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.26646,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,12,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,2.129804134,11,7.183,10.796,0.94,73.9,0.914,0.159,0.442,2.598,12,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2.011,Australia and New Zealand
