Country,GDP_2019,Social Support_2019,Health Life Expectancy_2019,Freedom_2019,Generosity_2019,Perceptions of corruption_2019,GDP_2020,Social Support_2020,Health Life Expectancy_2020,Freedom_2020,Generosity_2020,Perceptions of corruption_2020,Dystopia_y,GDP_2021,Social Support_2021,Health Life Expectancy_2021,Freedom_2021,Generosity_2021,Perceptions of corruption_2021,Dystopia_2021,GDP_2022,Social Support_2022,Health Life Expectancy_2022,Freedom_2022,Generosity_2022,Perceptions of corruption_2022,Dystopia_2022,GDP_2023,Social Support_2023,Health Life Expectancy_2023,Freedom_2023,Generosity_2023,Perceptions of corruption_2023,Dystopia_2023,GDP_2024,Social Support_2024,Health Life Expectancy_2024,Freedom_2024,Generosity_2024,Perceptions of corruption_2024,Dystopia_2024
Singapore,1.572,1.463,1.141,0.556,0.271,0.453,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,0.937031746,11.488,0.915,76.953,0.927,-0.018,0.082,1.379,2.149,1.127,0.851,0.672,0.163,0.587,0.932,2.168,1.354,0.607,0.66,0.17,0.561,1.778,2.118,1.361,0.769,0.743,0.168,0.575,0.788
United Arab Emirates,1.503,1.31,0.825,0.598,0.262,0.182,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,2.166965961,11.085,0.844,67.333,0.932,0.074,0.589,2.422,1.998,0.98,0.633,0.702,0.204,0.25,1.809,2.015,1.223,0.401,0.745,0.188,0.247,1.778,1.983,1.164,0.563,0.815,0.209,0.258,1.741
Ireland,1.499,1.553,0.999,0.516,0.298,0.31,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.943878174,11.342,0.947,72.4,0.879,0.077,0.363,2.384,2.129,1.166,0.779,0.627,0.19,0.408,1.743,2.152,1.425,0.539,0.656,0.186,0.409,1.778,2.129,1.39,0.7,0.758,0.205,0.418,1.239
Norway,1.488,1.582,1.028,0.603,0.271,0.341,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,2.168266296,11.053,0.954,73.3,0.96,0.093,0.27,2.58,1.997,1.239,0.786,0.728,0.217,0.474,1.925,1.994,1.521,0.544,0.752,0.212,0.463,1.778,1.952,1.517,0.704,0.835,0.224,0.484,1.586
Switzerland,1.452,1.526,1.052,0.572,0.263,0.343,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2.35026741,11.117,0.942,74.4,0.919,0.025,0.292,2.839,2.026,1.226,0.822,0.677,0.147,0.461,2.153,2.022,1.463,0.582,0.678,0.151,0.475,1.778,1.97,1.425,0.747,0.759,0.173,0.498,1.488
United States,1.433,1.457,0.874,0.454,0.28,0.128,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,2.344124794,11.023,0.92,68.2,0.837,0.098,0.698,2.807,1.982,1.182,0.628,0.574,0.22,0.177,2.214,1.98,1.46,0.39,0.557,0.21,0.172,1.778,1.939,1.392,0.542,0.586,0.223,0.169,1.873
Saudi Arabia,1.403,1.357,0.795,0.439,0.08,0.132,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,2.203118801,10.743,0.891,66.603,0.877,-0.149,0.684,2.668,1.87,1.092,0.577,0.651,0.078,0.18,2.075,1.861,1.37,0.351,0.682,0.093,0.17,1.778,1.842,1.361,0.511,0.787,0.114,0.188,1.79
Netherlands,1.396,1.522,0.999,0.557,0.322,0.298,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,2.352117062,10.932,0.942,72.4,0.913,0.175,0.338,2.798,1.945,1.206,0.787,0.651,0.271,0.419,2.137,1.942,1.488,0.545,0.672,0.251,0.394,1.778,1.901,1.462,0.706,0.725,0.247,0.372,1.906
Sweden,1.387,1.487,1.009,0.574,0.267,0.373,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,2.246299267,10.867,0.934,72.7,0.945,0.086,0.237,2.683,1.92,1.204,0.803,0.724,0.218,0.512,2.003,1.921,1.51,0.562,0.754,0.225,0.52,1.778,1.878,1.501,0.724,0.838,0.221,0.524,1.658
Denmark,1.383,1.573,0.996,0.592,0.252,0.41,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,2.432740688,10.933,0.954,72.7,0.946,0.03,0.179,2.868,1.953,1.243,0.777,0.719,0.188,0.532,2.226,1.949,1.548,0.537,0.734,0.208,0.525,1.778,1.908,1.52,0.699,0.823,0.204,0.548,1.881
