Country	Happiness Rank_2019	Happiness Rank_2020	Happiness Rank_2021	Happiness Rank_2022	Happiness Rank_2023	Happiness Rank_2024
Switzerland	6	3	3	4	8	9
Iceland	4	4	4	3	3	3
Denmark	2	2	2	2	2	2
Norway	3	5	6	8	7	7
Canada	9	11	14	15	13	15
Finland	1	1	1	1	1	1
Netherlands	5	6	5	5	5	6
Sweden	7	7	7	7	6	4
New Zealand	8	8	9	10	10	11
Australia	11	12	11	12	12	10
Israel	13	14	12	9	4	5
Costa Rica	12	15	16	23	23	12
Austria	10	9	10	11	11	14
Mexico	23	24	36	46	36	25
United States	19	18	19	16	15	23
Brazil	32	32	35	38	48	44
Ireland	16	16	15	13	14	17
Belgium	18	20	20	19	17	16
United Arab Emirates	21	21	25	24	26	22
United Kingdom	15	13	17	17	19	20
Venezuela	108	99	107	108	88	79
Singapore	34	31	32	27	25	30
Panama	31	36	41	37	38	39
Germany	17	17	13	14	16	24
Chile	26	39	43	44	35	38
France	24	23	21	20	21	27
Argentina	47	55	57	57	52	48
Uruguay	33	26	31	30	28	26
Colombia	43	44	52	66	72	78
Thailand	52	54	54	61	60	58
Saudi Arabia	28	27	26	25	30	28
Spain	30	28	27	29	32	36
Malta	22	22	23	33	37	40
El Salvador	35	34	49	49	50	33
Uzbekistan	41	38	42	53	54	47
Slovakia	38	37	34	35	29	45
Japan	58	62	56	54	47	51
South Korea	54	61	62	59	57	52
Ecuador	50	58	66	76	74	74
Bahrain	37	40	22	21	42	62
Italy	36	30	28	31	33	41
Bolivia	61	65	69	71	69	73
Moldova	71	70	65	62	63	70
Paraguay	63	67	71	73	66	57
Kazakhstan	60	50	45	40	44	48
Slovenia	44	33	29	22	22	21
Lithuania	42	41	38	34	20	19
Nicaragua	45	46	55	45	40	43
Peru	65	63	63	74	75	68
Poland	40	43	44	48	39	35
Malaysia	80	82	81	70	55	59
Croatia	75	79	60	47	48	63
Russia	68	73	76	80	70	72
Jamaica	56	60	37	63	68	67
Cyprus	49	45	39	41	46	50
Algeria	88	100	109	96	81	85
Kosovo	46	35	33	32	34	29
Mauritius	57	49	50	52	59	70
Estonia	55	51	40	36	31	34
Indonesia	92	84	82	87	83	80
Vietnam	94	83	79	77	65	54
Turkey	79	93	104	112		
Kyrgyzstan	86	74	67	64	62	75
Nigeria	85	115	116	118	95	102
Pakistan	67	66	105	121	108	108
Jordan	101	119	127	134	123	125
Montenegro	73	72	72	75	67	76
China	93	94	84	72	64	60
Zambia	138	141	137	137	128	134
Romania	48	47	46	28	24	32
Serbia	70	64	48	43	44	37
Portugal	66	59	58	56	56	55
Latvia	53	57	51	42	41	46
Philippines	69	52	61	60	76	53
Morocco	89	97	106	100	100	107
Albania	107	105	93	90	83	87
Bosnia and Herzegovina	78	69	64	67	71	65
Dominican Republic	77	68	73	69	73	69
Mongolia	83	81	70	68	61	77
Greece	82	77	68	58	58	64
Lebanon	91	111	123	145	136	142
Hungary	62	53	53	51	51	56
Honduras	59	56	59	55	53	61
Tajikistan	74	71	78	83	80	88
Tunisia	124	128	122	120	110	115
Bangladesh	125	107	101	94	118	129
Iran	117	118	118	110	101	100
Ukraine	133	123	110	98	92	105
Iraq	126	110	111	107	98	92
South Africa	106	109	103	91	85	83
Ghana	98	91	95	111	107	120
Zimbabwe	146	151	148	144	134	138
India	140	144	139	136	126	126
Nepal	100	92	87	84	78	93
Ethiopia	134	136	133	131	124	130
Sierra Leone	129	139	138	140	135	140
Kenya	121	121	121	119	111	114
Armenia	116	116	86	82	79	82
Myanmar	131	133	126	126	117	118
Georgia	119	117	108	105	90	91
Malawi	150	145	144	138	131	136
Sri Lanka	130	130	129	127	112	128
Cameroon	96	98	91	102	96	104
Bulgaria	97	96	88	85	77	81
Egypt	137	138	132	129	121	127
Mali	128	114	117	123	120	122
Uganda	136	126	119	117	113	117
Senegal	111	101	92	103	102	99
Gabon	104	108	112	106	94	95
Cambodia	109	106	114	114	115	119
Tanzania	153	148	142	139	129	131
Guinea	118	102	102	109	91	97
Ivory Coast	99	85	85	88	93	96
Burkina Faso	115	112	113	113	104	110
Afghanistan	154	153	149	146	137	143
Benin	102	86	99	115	116	116
Togo	139	135	136	135	122	124
