Country,GDP_2019,Social Support_2019,Health Life Expectancy_2019,Freedom_2019,Generosity_2019,Perceptions of corruption_2019,GDP_2020,Social Support_2020,Health Life Expectancy_2020,Freedom_2020,Generosity_2020,Perceptions of corruption_2020,Dystopia_y,GDP_2021,Social Support_2021,Health Life Expectancy_2021,Freedom_2021,Generosity_2021,Perceptions of corruption_2021,Dystopia_2021,GDP_2022,Social Support_2022,Health Life Expectancy_2022,Freedom_2022,Generosity_2022,Perceptions of corruption_2022,Dystopia_2022,GDP_2023,Social Support_2023,Health Life Expectancy_2023,Freedom_2023,Generosity_2023,Perceptions of corruption_2023,Dystopia_2023,GDP_2024,Social Support_2024,Health Life Expectancy_2024,Freedom_2024,Generosity_2024,Perceptions of corruption_2024,Dystopia_2024
Singapore,1.572,1.463,1.141,0.556,0.271,0.453,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,1.695,1.019,0.897,0.664,0.176,0.547,1.379,2.149,1.127,0.851,0.672,0.163,0.587,0.932,2.168,1.354,0.607,0.66,0.17,0.561,1.778,2.118,1.361,0.769,0.743,0.168,0.575,0.788
United Arab Emirates,1.503,1.31,0.825,0.598,0.262,0.182,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,1.555,0.86,0.594,0.67,0.236,0.223,2.422,1.998,0.98,0.633,0.702,0.204,0.25,1.809,2.015,1.223,0.401,0.745,0.188,0.247,1.778,1.983,1.164,0.563,0.815,0.209,0.258,1.741
Ireland,1.499,1.553,0.999,0.516,0.298,0.31,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,1.644,1.092,0.753,0.606,0.238,0.367,2.384,2.129,1.166,0.779,0.627,0.19,0.408,1.743,2.152,1.425,0.539,0.656,0.186,0.409,1.778,2.129,1.39,0.7,0.758,0.205,0.418,1.239
Norway,1.488,1.582,1.028,0.603,0.271,0.341,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,1.543,1.108,0.782,0.703,0.249,0.427,2.58,1.997,1.239,0.786,0.728,0.217,0.474,1.925,1.994,1.521,0.544,0.752,0.212,0.463,1.778,1.952,1.517,0.704,0.835,0.224,0.484,1.586
Switzerland,1.452,1.526,1.052,0.572,0.263,0.343,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2.026,1.226,0.822,0.677,0.147,0.461,2.153,2.022,1.463,0.582,0.678,0.151,0.475,1.778,1.97,1.425,0.747,0.759,0.173,0.498,1.488
United States,1.433,1.457,0.874,0.454,0.28,0.128,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,1.533,1.03,0.621,0.554,0.252,0.154,2.807,1.982,1.182,0.628,0.574,0.22,0.177,2.214,1.98,1.46,0.39,0.557,0.21,0.172,1.778,1.939,1.392,0.542,0.586,0.223,0.169,1.873
Saudi Arabia,1.403,1.357,0.795,0.439,0.08,0.132,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,1.435,0.964,0.571,0.603,0.09,0.163,2.668,1.87,1.092,0.577,0.651,0.078,0.18,2.075,1.861,1.37,0.351,0.682,0.093,0.17,1.778,1.842,1.361,0.511,0.787,0.114,0.188,1.79
Netherlands,1.396,1.522,0.999,0.557,0.322,0.298,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,1.501,1.079,0.753,0.647,0.302,0.384,2.798,1.945,1.206,0.787,0.651,0.271,0.419,2.137,1.942,1.488,0.545,0.672,0.251,0.394,1.778,1.901,1.462,0.706,0.725,0.247,0.372,1.906
Sweden,1.387,1.487,1.009,0.574,0.267,0.373,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,1.478,1.062,0.763,0.685,0.244,0.448,2.683,1.92,1.204,0.803,0.724,0.218,0.512,2.003,1.921,1.51,0.562,0.754,0.225,0.52,1.778,1.878,1.501,0.724,0.838,0.221,0.524,1.658
Denmark,1.383,1.573,0.996,0.592,0.252,0.41,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,1.502,1.108,0.763,0.686,0.208,0.485,2.868,1.953,1.243,0.777,0.719,0.188,0.532,2.226,1.949,1.548,0.537,0.734,0.208,0.525,1.778,1.908,1.52,0.699,0.823,0.204,0.548,1.881
